id,name,description,created_at,modified_at,created_by_id,customer_id,modified_by_id,module_id,status_id,use_case_id,is_poi
6,THE ONLY SOLUTION,,2021-07-01 12:48:29.848843+00,2021-07-01 16:09:28.121751+00,65,14,65,1,1,1,
8,All,,2021-09-21 17:07:35.320659+00,2021-09-21 17:07:35.320682+00,160,24,160,1,1,1,
5,All,,2021-06-09 13:42:14.425878+00,2021-10-04 09:44:44.227492+00,59,13,59,1,"0",1,
9,DECC,,2021-10-04 09:47:32.579338+00,2021-10-04 09:47:32.57936+00,59,13,59,1,1,1,
2,png,,2021-05-29 13:47:00.955272+00,2021-05-29 13:47:00.955291+00,18,,18,1,1,1,
1,HnQA,,2021-05-29 13:12:38.006275+00,2021-06-04 12:33:24.364067+00,15,,15,1,1,1,
10,Redlogik,,2021-10-14 10:13:05.141568+00,2021-10-14 10:13:05.141593+00,77,20,77,1,1,1,
11,All,,2021-10-23 06:25:04.928448+00,2021-10-23 06:25:04.928474+00,256,58,256,1,1,1,
13,All,,2021-11-29 06:36:26.412226+00,2021-11-29 10:21:49.083166+00,298,123,298,1,1,1,
7,All,,2021-08-31 09:21:48.721039+00,2021-11-30 08:47:25.590942+00,78,21,78,1,"0",1,
16,All,,2021-12-01 07:53:32.226807+00,2021-12-01 12:04:36.720738+00,312,149,312,1,1,1,
15,Fleet 1,,2021-11-30 11:45:25.836096+00,2021-12-07 08:32:08.201908+00,47,9,47,1,"0",1,
4,Test fleet,,2021-06-07 07:20:22.878055+00,2021-12-20 10:19:25.247836+00,52,10,52,1,1,1,
18,ismafleet,,2021-12-29 09:29:54.801192+00,2021-12-29 09:29:54.801213+00,383,195,383,1,1,1,
12,All,,2021-11-20 16:32:12.361688+00,2022-01-13 04:55:33.570349+00,259,62,259,1,1,1,
21,Qa fleet,,2022-01-13 21:48:01.269266+00,2022-01-13 21:48:01.269288+00,405,199,405,1,1,1,
22,test,,2022-01-13 22:50:13.407134+00,2022-01-13 22:50:13.407154+00,409,202,409,1,1,1,
23,QA Fleet,,2022-01-14 12:20:40.736828+00,2022-01-14 12:20:40.736849+00,411,203,411,1,1,1,
24,test,,2022-01-27 22:13:49.297856+00,2022-01-27 22:13:49.297875+00,420,212,420,1,1,1,
25,QA,,2022-01-27 22:37:12.649037+00,2022-01-27 22:37:12.649057+00,426,214,426,1,1,1,
26,Shivang,,2022-01-27 22:39:29.952147+00,2022-01-27 22:39:29.952166+00,425,213,425,1,1,1,
27,PVT,,2022-01-27 23:36:39.094083+00,2022-01-27 23:36:39.094103+00,384,196,384,1,1,1,
20,Fuel,,2021-12-30 11:05:41.241517+00,2022-01-30 11:34:52.898701+00,384,196,384,1,1,1,
28,Fleet2,,2022-01-30 11:35:07.400924+00,2022-01-30 11:35:07.400951+00,384,196,384,1,1,1,
29,nn,,2022-01-30 12:13:11.395998+00,2022-01-30 12:13:11.396018+00,384,196,384,1,1,1,
30,mm,,2022-01-30 12:35:37.727138+00,2022-01-30 12:35:37.72716+00,384,196,384,1,1,1,
32,All,,2022-02-14 14:35:08.908521+00,2022-02-14 16:59:25.189387+00,444,223,444,1,1,1,
33,FirstPlatoon,,2022-02-15 05:29:29.950639+00,2022-02-15 05:29:29.950662+00,448,226,448,1,1,1,
64,Fleet 2,,2022-11-13 06:58:24.270592+00,2022-11-13 06:58:24.270614+00,839,3685,839,1,1,1,
31,abc,,2022-02-03 08:53:07.569545+00,2022-02-18 06:43:14.082269+00,384,196,384,1,1,1,
57,Office cars,,2022-09-05 12:08:57.547818+00,2022-09-05 12:09:27.254877+00,303,146,303,1,"0",1,
42,Test Shivang,,2022-05-24 23:37:05.609039+00,2022-05-24 23:37:05.609059+00,632,353,632,1,1,1,
65,A,,2022-11-13 08:12:59.321857+00,2022-11-13 08:12:59.321879+00,838,3682,838,1,1,1,
35,nagina,,2022-02-28 01:27:30.516251+00,2022-02-28 03:57:27.165945+00,513,9,47,1,"0",1,
37,All,,2022-03-07 13:58:54.239739+00,2022-03-07 13:58:54.239764+00,512,253,512,1,1,1,
38,All,,2022-03-07 16:02:41.11144+00,2022-03-07 16:02:41.111461+00,548,269,548,1,1,1,
39,new fleet,,2022-03-23 00:59:02.04027+00,2022-03-23 00:59:02.040298+00,583,3,583,1,1,1,
40,fleet two,,2022-03-23 00:59:10.711522+00,2022-03-23 00:59:10.711551+00,583,3,583,1,1,1,
41,My fleet,,2022-03-23 01:10:46.272588+00,2022-03-23 01:10:46.272616+00,538,257,538,1,1,1,
58,Junaid,,2022-09-14 11:40:50.001228+00,2022-09-14 11:41:33.653635+00,303,146,303,1,"0",1,
66,FL11,,2022-11-17 10:07:12.889687+00,2022-11-17 10:07:12.889708+00,851,3755,851,1,1,1,
36,Taxi,,2022-02-28 03:57:40.785278+00,2022-04-24 06:53:47.205382+00,47,9,47,1,"0",1,
34,awais fleets,,2022-02-15 11:48:23.516364+00,2022-04-24 07:15:20.068796+00,47,9,47,1,"0",1,
56,Awais,,2022-09-02 07:27:04.422084+00,2022-09-22 02:42:24.187857+00,303,146,303,1,1,1,
43,nvkjcf,,2022-06-08 14:03:36.477086+00,2022-06-08 14:03:49.089338+00,303,146,303,1,"0",1,
14,Marwan Fleet,,2021-11-30 10:47:57.323249+00,2022-09-23 08:03:23.413004+00,47,9,47,1,1,1,
59,Default,,2022-09-25 06:33:13.177598+00,2022-09-25 07:21:37.377702+00,745,1479,745,1,1,1,
45,This is my fleet,,2022-07-28 07:29:13.113891+00,2022-08-03 14:57:15.236834+00,303,146,303,1,"0",1,
19,Pak,,2021-12-29 12:41:24.409666+00,2022-08-03 14:57:19.586076+00,303,146,303,1,"0",1,
49,Fleet 11,,2022-08-15 07:12:18.613998+00,2022-08-15 07:12:18.614018+00,47,9,47,1,1,1,
17,Ashish,,2021-12-07 08:54:34.720707+00,2022-08-15 07:12:30.143195+00,47,9,47,1,1,1,
50,Ashish 12,,2022-08-15 07:12:47.994954+00,2022-08-15 07:12:47.994974+00,47,9,47,1,1,1,
51,Ashish 13,,2022-08-15 07:13:31.539751+00,2022-08-15 07:13:31.53977+00,47,9,47,1,1,1,
3,All,,2021-05-31 18:18:15.738159+00,2022-08-15 18:16:33.941746+00,47,9,47,1,1,1,
60,tariq fleet,,2022-10-02 12:16:58.970529+00,2022-10-02 12:16:58.970553+00,303,146,303,1,1,1,
55,zsr,,2022-09-01 11:27:36.824887+00,2022-09-02 07:26:46.201552+00,303,146,303,1,"0",1,
44,test 2,,2022-06-20 12:35:09.300164+00,2022-09-02 07:26:49.808685+00,303,146,303,1,"0",1,
47,meet,,2022-08-04 06:14:07.329902+00,2022-09-02 10:15:22.885386+00,303,146,303,1,"0",1,
53,knbjl,,2022-09-01 11:27:20.155209+00,2022-10-03 05:42:52.748406+00,303,146,303,1,"0",1,
54,jbnio,,2022-09-01 11:27:28.39918+00,2022-10-03 05:43:00.039021+00,303,146,303,1,"0",1,
52,jkh,,2022-09-01 11:27:13.004485+00,2022-10-03 05:43:03.490821+00,303,146,303,1,"0",1,
46,Date Check,,2022-08-03 14:56:46.483612+00,2022-10-03 05:43:08.821497+00,303,146,303,1,"0",1,
48,QA,,2022-08-10 11:17:21.314373+00,2022-10-03 05:43:24.181476+00,303,146,303,1,1,1,
61,default,,2022-10-10 14:01:39.921801+00,2022-10-10 14:01:39.921823+00,825,1682,825,1,1,1,
62,QA,,2022-11-12 15:15:01.336204+00,2022-11-12 15:15:01.336232+00,838,3682,838,1,1,1,
63,Fleet 1,,2022-11-13 06:58:13.252703+00,2022-11-13 06:58:13.252724+00,839,3685,839,1,1,1,
